notice;adresse;codePostal;ville;typeLieu;dateDebut;anneeDebut;dateFin;anneeFin;titreNotice;typePersonne;activitePersonne;activiteComment;latitude;longitude;score;vignette;commentaire;uuid_collection_1;nom_collection_1;uuid_collection_2;nom_collection_2
1fd5d5fa-f4df-45bb-8046-76ef0d9d074a;34 rue Saint-Guilhem;34000;Montpellier;adresse privée;1875-01-01;1875;1877-12-31;1877;Itier, Jules;personne;surnuméraire, commis dans la fonction publique, sous-inspecteur, inspecteur, directeur, receveur des finances, collectionneur;;43.609311;3.874642;0.9797054545454545;https://agorha.inha.fr/ark:/54721/8907b3f9-0447-4470-84fc-78d4694a7f20/doc/d84f7190-eb1b-4454-855c-add3449a3b56/thumbnail.jpg;;47dcf98c-7531-4e54-9dea-4083605ec1e4;Collection de Jules Itier;;
8be143ae-c883-4e32-bfe6-e04f8c892926;Château de Chantilly.;60500;Chantilly;adresse privée;;;;;Bourbon, Louis-Henri de;personne;collectionneur;;49.199144;2.484892;0.49050462809917356;http://agorha.inha.fr/ark:/54721/c4b7740b-a79c-427c-ae3a-3195c5b7c450/doc/3b0902e9-b93c-4bf7-abd1-1015f7087b69/thumbnail.jpg;;1d30f412-d478-455b-9cba-f562899ef157;Collection de Louis-Henri de Bourbon;;
fe3a9647-bb06-4362-a328-d75b1868746e;41 avenue de l'Opéra;75002;Paris;adresse professionnelle;1893-01-01;1893;1914-12-31;1914;Empire du Mikado;collectivité;marchand;<p>Objets d'art, bronze, porcelaines, laques anciennes et modernes.</p>;48.868799;2.332874;0.962241818181818;;;;;;
faef7427-a461-4341-8ab5-8a4d008c33c0;29 rue du Quatre-Septembre;75002;Paris;Non renseigné;1880-01-01;1880;1880-12-31;1880;Ibrahim;personne;marchand;;48.869849;2.334585;0.9661309090909089;;;;;;
91c42086-39ff-44cf-955e-8a27fe352546;6, rue Oudinot;75007;Paris;adresse privée;1866-01-01;1866;1876-12-31;1876;Mène, Édouard;personne;collectionneur, médecin, écrivain scientifique, membre, vice-président, membre honoraire, membre du jury, président;;48.850448;2.318691;0.9688954545454544;http://agorha.inha.fr/ark:/54721/dec69113-5f2a-4e0b-b8a0-f0ad01bde220/doc/38c11240-7505-48e7-a998-5c3b7392df4c/thumbnail.jpg;;4d912e16-050f-482a-b6b0-b84664a92b07;Collection de Édouard Mène;;
91c42086-39ff-44cf-955e-8a27fe352546;20, rue Oudinot;75007;Paris;adresse privée;1883-01-01;1883;1893-12-31;1893;Mène, Édouard;personne;collectionneur, médecin, écrivain scientifique, membre, vice-président, membre honoraire, membre du jury, président;;48.849671;2.315699;0.9688954545454544;http://agorha.inha.fr/ark:/54721/dec69113-5f2a-4e0b-b8a0-f0ad01bde220/doc/38c11240-7505-48e7-a998-5c3b7392df4c/thumbnail.jpg;;4d912e16-050f-482a-b6b0-b84664a92b07;Collection de Édouard Mène;;
91c42086-39ff-44cf-955e-8a27fe352546;4, rue Valentin-Haüy;75015;Paris;adresse privée;1905-01-01;1905;1912-12-31;1912;Mène, Édouard;personne;collectionneur, médecin, écrivain scientifique, membre, vice-président, membre honoraire, membre du jury, président;;48.847087;2.310444;0.9735881818181819;http://agorha.inha.fr/ark:/54721/dec69113-5f2a-4e0b-b8a0-f0ad01bde220/doc/38c11240-7505-48e7-a998-5c3b7392df4c/thumbnail.jpg;;4d912e16-050f-482a-b6b0-b84664a92b07;Collection de Édouard Mène;;
0d16642f-cfbb-421b-bc64-7602928958dd;8 rue Martel;75010;Paris;adresse professionnelle;1882-01-01;1882;1883-12-31;1883;Wakai, Kenzaburō;personne;marchand d'art, collectionneur;;48.873938;2.353064;0.9698590909090908;http://agorha.inha.fr/ark:/54721/d515c441-b665-4dd3-a2be-f50f3285d7e2/doc/e0dcf7d5-f62e-4d55-a10d-74a0e9dd9225/thumbnail.jpg;;c6cd9c7f-7172-4440-9c7d-20d938038f7a;Collection de Kenzaburō Wakai;;
0d16642f-cfbb-421b-bc64-7602928958dd;7 Cité d'Hauteville;75010;Paris;adresse professionnelle;1885-01-01;1885;1886-12-31;1886;Wakai, Kenzaburō;personne;marchand d'art, collectionneur;;48.876385;2.352248;0.9679163636363636;http://agorha.inha.fr/ark:/54721/d515c441-b665-4dd3-a2be-f50f3285d7e2/doc/e0dcf7d5-f62e-4d55-a10d-74a0e9dd9225/thumbnail.jpg;;c6cd9c7f-7172-4440-9c7d-20d938038f7a;Collection de Kenzaburō Wakai;;
0d16642f-cfbb-421b-bc64-7602928958dd;65-67 rue de la Victoire;75009;Paris;adresse professionnelle;1886-01-01;1886;1889-12-31;1889;Wakai, Kenzaburō;personne;marchand d'art, collectionneur;;48.875171;2.333805;0.9746736363636362;http://agorha.inha.fr/ark:/54721/d515c441-b665-4dd3-a2be-f50f3285d7e2/doc/e0dcf7d5-f62e-4d55-a10d-74a0e9dd9225/thumbnail.jpg;;c6cd9c7f-7172-4440-9c7d-20d938038f7a;Collection de Kenzaburō Wakai;;
3af266d3-c556-47d7-be75-b8fe08b5a95a;9 rue Bleue;75009;Paris;adresse professionnelle;1889-01-01;1889;1910-12-31;1910;Worch & Cie;collectivité;marchand;"<p>Importation directe. Maisons à Yokohama et à Kobe.</p><p><br></p><p><br></p><p>""Maison A. Worch.</p><p>Les agrandissements que M. A. Worch, importateur d’objets d’art et de céramiques chinoises, vient de faire a ses magasins, 9 rue Bleue, sont si importants qu’ils en prolongent l’étendue jusque et y compris le No. 15 de la même rue. Plusieurs grands salons permettent d’y exposer maintenant beaucoup plus avantageusement les nombreux objets d’art ancien de la Chine qui forment à l’heure actuelle une des branches les plus importantes de la maison Worch. C’est ainsi qu’a ma dernière visite, j’ai eu occasion d’admirer de bien belles pièces, telles qu’un vase balustre a col évasé, fond corail, à réserves décorées aux trois couleurs avec des inscriptions époque Kang-Hi, et un vase carré, emmaillé sur biscuit, fond jaune paille, a décor de lotus en émaux verts et manganèse. Ces deux vases, que je cite comme les plus beaux, sont accompagnes d’un grand nombre d’autres, plus intéressants les uns que les autres.</p><p>Des vitrines entières sont remplies de précieuses porcelaines; l’une ne contient que des pièces emmaillées sur biscuit, époque des Ming; d’autres des jades et cristaux de roche. De grandes vasques, époque des Ming, en grès emmaillé fond bleu-foncé, a rehauts bleu-turquoise, de grands paravents en laque de Coromandel, sont également a signaler dans ce beau stock si varié.</p><p>Le musée du Louvre vient d’acquérir de M. Worch une pierre tumulaire, détachée de l’intérieur d’un tombeau, sur laquelle sont gravées des scènes de la vie d’un prince, en trois compartiments encadrés de zones d’ornements dans le style indo-chinois, pièce archaïque d’un très grand intérêt au point de vue de l'art du nord de la Chine."" (The New York Herald, 20/10/1912)</p>";48.87579639264609;2.346707154077456;;;;;;;
