uuid_collectionneur;uuid_collection;statut_notice;titre_collection;activite_personne
e212343a-0d46-42fe-80d4-5cd639f57bce;2a2f1fc5-a971-413f-8f66-6e8defa5e427;Publiée;Collection de Victor Jacquemont;collecteur
01363bab-56e1-41cb-9287-d8cfa6087ff8;3c27c118-6ee8-420e-bba7-0794ca8e1932;Publiée;Collection de Vincent Van Gogh;collectionneur
04570fd4-f72d-4aa8-a5e6-ec17b7d76439;b62a66b7-6170-44e4-b066-bd74d9f2fdea;Publiée;Collection d'Angéla Fleuriot;marchand
a102d16f-e3af-4da3-97dc-63048ddf5be0;361e0a6a-cc91-4bd7-bc49-efb2ea5aa9ec;Publiée;Objets rapportés à l'occasion de la Mission en Chine de Théodose de Lagrené;
56b72d0f-8efd-4365-bcc8-8db08b6a8343;84757926-c40a-416e-a1ea-1a1aeb64297a;Publiée;Collection de Nicolas Notovitch;collectionneur
351c1a11-ba8c-45c8-9dfb-032eb0e99563;b4625ebb-bc29-40b4-931c-f45f6d97e3e2;Publiée;Collection de Henri Marchal;collecteur
4df02394-4812-4d4e-b04c-0f41f9835eff;1fbc33c1-d78f-4286-bf72-d0e17ad6a72c;Publiée;Collection de Christophe Paul de Robien;collectionneur
ed141a94-a115-4352-bfb3-646db73204bc;fc02fc48-1dd4-486f-ad08-e9f6447b5706;Publiée;Collection de Maurice Maindron;collectionneur
5347cb2e-5c98-4188-b7d9-438fa164fb4b;5bb69f9a-13cf-430b-9390-368111224ac1;Publiée;Collection de Benoît de Boigne;collecteur
8b2d1a3d-6503-48bf-a700-265649421604;81b343a8-857c-4a2e-96f6-48296430f4f1;Publiée;Collection de Michel Calmann-Lévy;collectionneur
3c28070c-1fa9-417c-9032-d4c3cee460b3;c2e17f1c-85c0-4954-b79a-def2b380b36a;Publiée;Collection d'Émile Guimet;collectionneur
d33da4a1-e608-488a-bec8-e560e4744848;7d274d8c-66e3-4c5a-b57e-3f2f426dbe3c;Publiée;Collection d'Henri et Sophie Grangier;collectionneur
58c97700-ba79-4353-a0fe-342a736aaf54;7d274d8c-66e3-4c5a-b57e-3f2f426dbe3c;Publiée;Collection d'Henri et Sophie Grangier;collectionneur
056f45b4-b50c-4bde-bc63-0e8136a7a7f5;c0c0e0fc-477e-4e5a-9089-aee42b507d4f;Publiée;Collection de Joseph Malinet;
84dcf4e2-f1fd-436c-aa16-5acea70663f4;9221cfa3-792b-4cff-8aa3-d0384d3cb29b;Publiée;Collection d'A.D. Roussel;collectionneur
2daa3539-7201-44d6-b4cb-44c23d824e2d;61b9b8d1-875d-4937-8998-06b8a440cbd5;Publiée;Collection de Henri Vever;collectionneur
5b875ae5-3173-46e4-8ca6-ad96016e7a1b;fbf75ab7-675a-4d57-abc1-09f49d23b2cf;Publiée;Collection de Claude Monet;collectionneur
